year,historical_emissions,predicted_emissions,historical_temperature,predicted_temperature
1850,4293311000.0,,-0.063,
1851,4409168400.0,,0.1,
1852,4523711000.0,,0.14,
1853,4561398000.0,,0.102,
1854,4653988400.0,,0.07,
1855,4720010000.0,,0.073,
1856,4764561000.0,,0.036,
1857,4822786000.0,,-0.102,
1858,4855032300.0,,-0.033,
1859,4925749000.0,,0.072,
1860,4707105000.0,,-0.043,
1861,4603420700.0,,-0.1,
1862,4542935600.0,,-0.191,
1863,4548649500.0,,-0.019,
1864,4613389000.0,,-0.13,
1865,4570624500.0,,-0.028,
1866,4608313000.0,,-0.036,
1867,4602518500.0,,-0.035,
1868,4611739600.0,,0.001,
1869,4645359000.0,,0.045,
1870,5019819500.0,,0.036,
1871,5154967600.0,,-0.009,
1872,5400922000.0,,0.055,
1873,5514893000.0,,0.043,
1874,5588724700.0,,-0.001,
1875,5689142000.0,,-0.003,
1876,5775295000.0,,-0.047,
1877,5899497000.0,,0.282,
1878,5979068400.0,,0.374,
1879,6108895700.0,,0.075,
1880,6267865000.0,,0.061,
1881,6298316300.0,,0.151,
1882,6448853500.0,,0.092,
1883,6590572000.0,,0.036,
1884,6621438000.0,,-0.11,
1885,6648328700.0,,-0.094,
1886,6673521000.0,,-0.044,
1887,6803576000.0,,-0.124,
1888,6938951700.0,,-0.009,
1889,6988416000.0,,0.114,
1890,7410931700.0,,-0.136,
1891,7585248000.0,,-0.034,
1892,7588023000.0,,-0.143,
1893,7618795000.0,,-0.131,
1894,7775791600.0,,-0.115,
1895,7872411000.0,,-0.078,
1896,7957284000.0,,0.085,
1897,8125195300.0,,0.109,
1898,8255487000.0,,-0.11,
1899,8483320300.0,,0.02,
1900,8644852000.0,,0.134,
1901,8856100000.0,,0.077,
1902,8970867000.0,,-0.073,
1903,9232675000.0,,-0.171,
1904,9386916000.0,,-0.233,
1905,9598302000.0,,-0.042,
1906,9810574000.0,,0.049,
1907,10223969000.0,,-0.136,
1908,10160848000.0,,-0.143,
1909,10389171000.0,,-0.169,
1910,10362358000.0,,-0.158,
1911,10403386000.0,,-0.176,
1912,10492066000.0,,-0.112,
1913,10765312000.0,,-0.1,
1914,10426166000.0,,0.105,
1915,10321157000.0,,0.173,
1916,10612144000.0,,-0.056,
1917,10726377000.0,,-0.18,
1918,10633157000.0,,-0.062,
1919,10112269000.0,,0.032,
1920,11081009000.0,,0.06,
1921,10820044000.0,,0.123,
1922,11096396000.0,,0.026,
1923,11732040000.0,,0.049,
1924,11725088000.0,,0.055,
1925,11913610000.0,,0.084,
1926,11881277000.0,,0.242,
1927,12300549000.0,,0.138,
1928,12360601000.0,,0.156,
1929,12770862000.0,,-0.026,
1930,12501470000.0,,0.194,
1931,12156920000.0,,0.258,
1932,11849510000.0,,0.214,
1933,12021460000.0,,0.036,
1934,12437093000.0,,0.187,
1935,12606813000.0,,0.151,
1936,13194024000.0,,0.193,
1937,13529760000.0,,0.348,
1938,13313498000.0,,0.351,
1939,13585188000.0,,0.322,
1940,14177450000.0,,0.438,
1941,14507957000.0,,0.398,
1942,14578645000.0,,0.363,
1943,14776369000.0,,0.37,
1944,14904324000.0,,0.509,
1945,14100154000.0,,0.407,
1946,14547557000.0,,0.241,
1947,15230034000.0,,0.268,
1948,15567631000.0,,0.235,
1949,15368438000.0,,0.21,
1950,17047687000.0,,0.124,
1951,18150430000.0,,0.292,
1952,18382768000.0,,0.375,
1953,18800712000.0,,0.441,
1954,19481364000.0,,0.246,
1955,20510933000.0,,0.165,
1956,21197357000.0,,0.099,
1957,21805079000.0,,0.329,
1958,22099878000.0,,0.347,
1959,23239465000.0,,0.317,
1960,22832380000.0,,0.251,
1961,22968943000.0,,0.35,
1962,22922600000.0,,0.305,
1963,23411464000.0,,0.333,
1964,23798047000.0,,0.062,
1965,24194010000.0,,0.162,
1966,24516840000.0,,0.219,
1967,25319172000.0,,0.248,
1968,26188368000.0,,0.2,
1969,27861912000.0,,0.336,
1970,28904395000.0,,0.28,
1971,28942800000.0,,0.16,
1972,30118918000.0,,0.274,
1973,30973745000.0,,0.416,
1974,31021443000.0,,0.195,
1975,31003484000.0,,0.258,
1976,31968012000.0,,0.153,
1977,33141996000.0,,0.469,
1978,33813842000.0,,0.369,
1979,33813142000.0,,0.452,
1980,33850024000.0,,0.555,
1981,32964980000.0,,0.611,
1982,32682762000.0,,0.395,
1983,33217364000.0,,0.585,
1984,34452648000.0,,0.41,
1985,35584655000.0,,0.41,
1986,36097884000.0,,0.456,
1987,36294990000.0,,0.602,
1988,36855247000.0,,0.642,
1989,37119140000.0,,0.539,
1990,37574775000.0,,0.719,
1991,37889740000.0,,0.698,
1992,37455110000.0,,0.484,
1993,37427732000.0,,0.525,
1994,38666154000.0,,0.591,
1995,38933975000.0,,0.735,
1996,39997944000.0,,0.635,
1997,41519980000.0,,0.779,
1998,40128705000.0,,0.936,
1999,40450994000.0,,0.682,
2000,40795378000.0,,0.689,
2001,40260362000.0,,0.847,
2002,41423413000.0,,0.901,
2003,44206870000.0,,0.902,
2004,44421226000.0,,0.826,
2005,45006918000.0,,0.966,
2006,46217527000.0,,0.93,
2007,46734880000.0,,0.949,
2008,47666078000.0,,0.823,
2009,47682020000.0,,0.954,
2010,49602090000.0,,1.038,
2011,50934178000.0,,0.897,
2012,51787150000.0,,0.935,
2013,51689280000.0,,0.983,
2014,52086366000.0,,1.032,
2015,52119314000.0,,1.182,
2016,51013095000.0,,1.289,
2017,51702665000.0,,1.2,
2018,52139290000.0,,1.117,
2019,52571340000.0,,1.251,
2020,50601267000.0,,1.28,
2021,52639842000.0,,1.131,
2022,53515588000.0,,1.166,
2023,54092186000.0,,1.474,
2024,54433400000.0,,1.533,
2025,,54977734000.0,,1.297
2026,,55527511340.0,,1.323
2027,,56082786453.4,,1.35
2028,,56643614317.934006,,1.376
2029,,57210050461.11335,,1.404
2030,,57782150965.72449,,1.432
2031,,58359972475.38173,,1.46
2032,,58943572200.135544,,1.489
2033,,59533007922.1369,,1.519
2034,,60128338001.35827,,1.549
2035,,60729621381.37185,,1.58
2036,,61336917595.18557,,1.611
2037,,61950286771.13743,,1.644
2038,,62569789638.8488,,1.676
2039,,63195487535.23729,,1.71
2040,,63827442410.58966,,1.744
2041,,64465716834.69556,,1.779
2042,,65110374003.04251,,1.814
2043,,65761477743.07294,,1.85
2044,,66419092520.50367,,1.887
2045,,67083283445.70871,,1.925
2046,,67754116280.165794,,1.963
2047,,68431657442.96745,,2.002
2048,,69115974017.39713,,2.042
2049,,69807133757.57109,,2.083
2050,,70505205095.1468,,2.125
2051,,71210257146.09827,,2.167
2052,,71922359717.55925,,2.21
2053,,72641583314.73485,,2.255
2054,,73367999147.8822,,2.3
2055,,74101679139.36102,,2.346
2056,,74842695930.75464,,2.392
2057,,75591122890.06218,,2.44
2058,,76347034118.9628,,2.489
2059,,77110504460.15244,,2.539
2060,,77881609504.75397,,2.589
